Aaiun, Western Sahara
Abenra, Denmark
Aberdeen, Scotland
Aarhus, Denmark
Abadan, Iran
Acapulco, Mexico
Aden, Yemen
Agadir, Morocco
Al Manamah, Bahrain
Ajaccio, Corsica
Akita, Japan
Al Basrah, Iraq
Al Jubayl, Saudi Arabia
Albany, Australia
Albany, New York, U.S.A.
Al Aqabah, Jordan
Aleksandrovsksakhalinskiy, Russia
Alicante, Spain
Algeciras, Spain
Algiers, Algeria
Almirante, Panama
Amapala, Honduras
Ambon, Indonesia
Anecho, Togo
Amuay, Venezuela
Washington, U.S.A.
Anan, Japan
Angra Dos Reis, Brazil
Annaba, Algeria
Antofagasta, Chile
Antwerp, Belgium
Antilla, Cuba
Aomori, Japan
Apapa, Nigeria
Apia, Samoa
Apra, Guam, Mariana Islands
Apra, Guam, Mariana
Arbatax, Italy
Ardrossan, Scotland
Arendal, Norway
Argentia, Canada
Argostolion, Greece
Aracaju, Brazil
Ashdod, Israel
Arzew, Algeria
Assab, Ethiopia
As Sukhayrah, Tunisia
Ash Shuwaykh, Kuwait
Assens, Denmark
Auckland, New Zealand
Augusta, Sicily
Avarua, Cook Islands
Aveiro, Portugal
Aviles, Spain
Ayn Sukhnah, Egypt
Bachaquero, Venezuela
Avonmouth, England
Ayios Nikolaos, Greece
Bahia Honda, Cuba
Baker Island, North
Kalimantan, Indonesia
Baltimore, Maryland,
Banana, Congo
Bandar Abbas, Iran
Bandar Al Mishab, Saudi
Bandar Khomeini, Iran
Banghazi, Libya
Bangkok, Thailand
Baniyas, Syria
Banzart, Tunisia
Banjul, Gambia
Bantry Bay, Ireland
Bar, Montenegro
Baracoa, Cuba
Barahona, Dominican
Barcelona, Spain
Barcelona, Venezuela
Basseterre, Saint Kitts
Bari, Italy
Basuo Gang, China
Bata, Equatorial Guinea
Bassens, France
Batangas, Luzon,
Bath, Maine, U.S.A.
Baton Rouge, Louisiana,
Bayonne, France
Beihai, China
Beira, Mozambique
Beaumont, Texas, U.S.A.
Bee Ness, England
Belawan, Indonesia
Belem, Brazil
Belfast, Northern
Belize, Belize
Berbera, Somalia
Bergen, Norway
Bhavnagar, India
Bikini, Marshall
Bilbao, Spain
Bishop Rock, England
Bishop Rock, England *
Bissau, Guinea-Bissau
Blyth, England
Boca De Tanamo, Cuba
Boca Grande, Florida,
Bjornoya, Svalbard
Bluff Harbor, New
Bodo, Norway
Bohang, South Korea
Boma, Congo
Bombay, India
Bordeaux, France
Boston, Massachusetts,
Botwood, Canada
Boulogne, France
Terminal), Nigeria
Bremerhaven, Germany
Brest, France
Brevik, Norway
Bowling, Scotland
Connecticut, U.S.A.
Bridgetown, Barbados
Brighton, Trinidad
Brindisi, Italy
Bristol, England
Brixham, England
Brooklyn, New York,
Broome, Australia
Buchanan, Liberia
Brownsville, Texas,
Jima, Ryukyu Islands
Buenos Aires, Argentina
Kuril Islands, Russia
Bunbury, Australia
Bundaberg, Australia
Bur Safaga, Egypt
Burea, Sweden
Burgas, Bulgaria
Burutu, Nigeria
Busan, South Korea
Bushehr, Iran
Cabedelo, Brazil
Cabinda, Cabinda
Cagliari, Sardinia
Cairn Ryan, Scotland
Caen, France
Caibarien, Cuba
Calabar, Nigeria
Calais, France
Caldera, Chile
Calicut, India
Callao, Peru
Campeche, Mexico
Campana, Argentina
Hawbesburg), Canada
End), Massachusetts,
Cap-Haitien, Haiti
Cape Lopez, Gabon
Cape St. Jacques, Vietnam
Cape Town, South
Cardenas, Cuba
Cardiff, Wales
Carmen, Mexico
Cartagena, Colombia
Cartagena, Spain
Casablanca, Morocco
Castro-Urdiales, Spain
Casilda, Cuba
Castellon, Spain
Cayman Brac, Cayman
Cebu, Philippines
Ceuta, Morocco
Carolina, U.S.A.
Chah Bahar, Iran
Anchorage, Bangladesh
Chanaral, Chile
Thomas, Virgin Islands
Chatham, Canada
Cherbourg, France
Chi-Lung, Taiwan
Chicoutimi, Canada
Chimbote, Peru
Chioggia, Italy
Chongjin, North Korea
Christiansted, St. Croix
Christmas Island, Line Islands
Christmas Island, Line
Churchill, Canada
Cienfuegos, Cuba
Civitavecchia, Italy
Coatzacoalcos, Mexico
Cochin, India
Colombo, Sri Lanka
Cobh, Ireland
Colon, Panama
Colonia, Uruguay
Constanta, Romania
Conakry, Guinea
Coos Bay, Oregon, U.S.A.
Copenhagen, Denmark
Coquimbo, Chile
Cordova, Alaska, U.S.A.
Corner Brook, Canada
Corpus Christi, Texas,
Corunna, Spain
Cotonou, Benin
Covenas, Colombia
Dagu, China
Dakar, Senegal
Dalhousie, Canada
Dalian, China
Danang, Vietnam
Dar Es Salaam, Tanzania
Dartmouth, England
Das Island, United Arab
Davao, Philippines
Jersey, U.S.A.
Delfzijl, Netherlands
Dieppe, France
Dikson, Russia
Dover, England
Djibouti, Djibouti
Diego Garcia, Chagos
Dubrovnik, Croatia
Douala, Cameroon
Douglas, Isle Of Man
Dublin, Ireland
Dumai, Indonesia
Dundee, Scotland
Dunedin, New Zealand
Durban, South Africa
Dunkerque, France
Dutch Harbor, Alaska,
East London, South
Egersund, Norway
Eilat, Israel
El Aaiun, Western
El Jadida, Morocco
Esbjerg, Denmark
Esmeraldas, Ecuador
El Segundo, California,
Eniwetak, Marshall
Emden, Germany
Escravos, Nigeria
